bpm_gt,bpm_pred,failure_reason,level,method,n_tones,n_valid_tones,outlier_frac,quality,quality_pr,quality_snr,quality_stability,rel_err_pct,scenario,segment,selected_variable,valid,variable,variables_used,window_index
8.675,10.2299747677724,,variable,adaptive_selection,nan,nan,nan,0.4988600687723345,nan,nan,nan,17.92478118469625,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",11
8.675,11.076556572838717,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5380495202005969,nan,nan,nan,27.68364925462497,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",11
8.675,11.076556572838717,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.6020669554858802,nan,nan,nan,27.68364925462497,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",11
8.675,10.15816234002488,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.49178040277638524,nan,nan,nan,17.096972219306966,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",11
8.675,8.773601969295237,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.4988600687723345,nan,nan,nan,1.136622124440766,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",11
8.675,8.528367867212333,,variable,variable_equal_average,nan,nan,nan,0.48804714518949366,nan,nan,nan,1.6902839514428516,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",12
8.675,8.606941205194142,,variable,variable_quality_weighted,nan,nan,nan,0.48804714518949366,nan,nan,nan,0.7845394213931881,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",12
8.675,8.50233457678469,,variable,variable_weighted_median,nan,nan,nan,0.48804714518949366,nan,nan,nan,1.9903795183321058,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",12
8.675,8.847822503876097,,variable,variable_mrc,nan,nan,nan,0.48804714518949366,nan,nan,nan,1.9921902464103334,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",12
8.675,10.146934520749705,,variable,adaptive_selection,nan,nan,nan,0.48804714518949366,nan,nan,nan,16.967544907777565,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",12
8.675,10.974774370258121,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5266065239786586,nan,nan,nan,26.510367380497062,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",12
8.675,11.207311427096695,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.594632130656669,nan,nan,nan,29.190909822440275,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",12
8.675,9.097269832816128,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.48786135741546727,nan,nan,nan,4.867663778860256,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",12
8.675,8.606941205194142,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.48804714518949366,nan,nan,nan,0.7845394213931881,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",12
8.675,8.444647165802378,,variable,variable_equal_average,nan,nan,nan,0.4814298646696582,nan,nan,nan,2.6553640829697156,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",13
8.675,8.488140106495106,,variable,variable_quality_weighted,nan,nan,nan,0.4814298646696582,nan,nan,nan,2.1540045360794817,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",13
8.675,7.686333289816548,,variable,variable_weighted_median,nan,nan,nan,0.4814298646696582,nan,nan,nan,11.396734411336631,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",13
8.675,7.841557310759033,,variable,variable_mrc,nan,nan,nan,0.4814298646696582,nan,nan,nan,9.607408521509718,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",13
8.675,10.042510092585298,,variable,adaptive_selection,nan,nan,nan,0.4814298646696582,nan,nan,nan,15.763805101847803,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",13
8.675,11.205686454817789,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5259481797090068,nan,nan,nan,29.17217815351917,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",13
8.675,11.154700308911401,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.579071995356416,nan,nan,nan,28.584441601284155,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",13
